Name,EF,year,field
POST-SOV GEOGR ECON,0.001,1997,economics
FOOD POLICY,0.002,1997,economics
J RISK INSUR,0.001,1997,economics
REV IND ORGAN,0.001,1997,economics
J POLICY MODEL,0.001,1997,economics
J ECON PSYCHOL,0.001,1997,economics
CAN J AGR ECON,0.002,1997,economics
HIST POLIT ECON,0.002,1997,economics
J AGR ECON,0.001,1997,economics
J POPUL ECON,0.001,1997,economics
J DEV AREAS,0.001,1997,economics
COMMUNIST ECON EC TR,0.001,1997,economics
AUST ECON HIST REV,0.001,1997,economics
THEOR DECIS,0.001,1997,economics
APPL ECON,0.004,1997,economics
ECON PLANN,0.001,1997,economics
CONTEMP ECON POLICY,0.001,1997,economics
ECON MODEL,0.001,1997,economics
NEW ENGL ECON REV,0.001,1997,economics
REAL ESTATE ECON,0.001,1997,economics
J ECON,0.001,1997,economics
J MACROECON,0.001,1997,economics
TIJDSCHR ECON SOC GE,0.001,1997,economics
Q REV ECON FINANC,0.001,1997,economics
INSUR MATH ECON,0.001,1997,economics
FUTURES,0.001,1997,economics
DEFENCE PEACE ECON,0.001,1997,economics
DEV ECON,0.001,1997,economics
REV SOC ECON,0.001,1997,economics
APPL ECON LETT,0.001,1997,economics
JPN WORLD ECON,0.001,1997,economics
AM J ECON SOCIOL,0.001,1997,economics
J MEDIA ECON,0.001,1997,economics
J ECON ISSUES,0.001,1997,economics
J POST KEYNESIAN EC,0.001,1997,economics
DESARROLLO ECON,0.001,1997,economics
REV ETUD COMP EST-Q,0.001,1997,economics
SMALL BUS ECON,0.001,1997,economics
ECON SOC REV,0.001,1997,economics
B INDONES ECON STUD,0.001,1997,economics
HITOTSUB J ECON,0.001,1997,economics
OPEN ECON REV,0.001,1997,economics
TRIMEST ECON,0.001,1997,economics
REV ECON,0.001,1997,economics
BETRIEB FORSCH PRAX,0.001,1997,economics
PROBL ECON TRANSIT,0.001,1997,economics
S AFR J ECON,0.001,1997,economics
JAHRB NATL STAT,0.001,1997,economics
J TAX,0.001,1997,economics
EASTERN EUR ECON,0.001,1997,economics
POLIT EKON,0.001,1997,economics
EKON SAMF TIDSKR,0.001,1997,economics
EKON CAS,0.001,1997,economics
JPN ECON STUD,0.001,1997,economics
AUST J AGR RESOUR EC,0.001,1997,economics
NATIONALOKON TIDSSKR,0.001,1997,economics
Q J ECON,0.064,1998,economics
J ECON LIT,0.027,1998,economics
ECONOMETRICA,0.079,1998,economics
J POLIT ECON,0.063,1998,economics
ECONOMIST,0.024,1998,economics
REV ECON STUD,0.031,1998,economics
J ECON PERSPECT,0.038,1998,economics
J FINANC ECON,0.029,1998,economics
AM ECON REV,0.113,1998,economics
J ECONOMETRICS,0.05,1998,economics
J MONETARY ECON,0.026,1998,economics
J BUS ECON STAT,0.024,1998,economics
J LABOR ECON,0.016,1998,economics
J HUM RESOUR,0.02,1998,economics
J ECON THEORY,0.041,1998,economics
J APPL ECONOM,0.014,1998,economics
GAME ECON BEHAV,0.024,1998,economics
RAND J ECON,0.015,1998,economics
J LAW ECON,0.008,1998,economics
ECONOMET THEOR,0.019,1998,economics
ECON THEOR,0.012,1998,economics
REV ECON STAT,0.025,1998,economics
WORLD BANK ECON REV,0.008,1998,economics
J LAW ECON ORGAN,0.006,1998,economics
INT ECON REV,0.015,1998,economics
J PROD ANAL,0.004,1998,economics
ECON J,0.025,1998,economics
J ACCOUNT ECON,0.007,1998,economics
J ENVIRON ECON MANAG,0.013,1998,economics
J FINANC QUANT ANAL,0.008,1998,economics
CHINA ECON REV,0.002,1998,economics
J INT ECON,0.01,1998,economics
EUR ECON REV,0.027,1998,economics
J PUBLIC ECON,0.018,1998,economics
EXPLOR ECON HIST,0.005,1998,economics
J HEALTH ECON,0.007,1998,economics
J EVOL ECON,0.002,1998,economics
INT J GAME THEORY,0.006,1998,economics
HEALTH ECON,0.006,1998,economics
J COMP ECON,0.006,1998,economics
J RISK UNCERTAINTY,0.006,1998,economics
INT MONET FUND S PAP,0.006,1998,economics
OXFORD B ECON STAT,0.006,1998,economics
ECON GEOGR,0.003,1998,economics
J ECON MANAGE STRAT,0.003,1998,economics
J IND ECON,0.005,1998,economics
SOC CHOICE WELFARE,0.005,1998,economics
INT J IND ORGAN,0.006,1998,economics
J ECON DYN CONTROL,0.01,1998,economics
J ECON HIST,0.006,1998,economics
POST-SOV AFF,0.003,1998,economics
LAND ECON,0.006,1998,economics
WORLD BANK RES OBSER,0.002,1998,economics
ENERGY J,0.003,1998,economics
J DEV ECON,0.009,1998,economics
J URBAN ECON,0.006,1998,economics
ECON INQ,0.007,1998,economics
ECONOMICA,0.004,1998,economics
OXFORD ECON PAP,0.005,1998,economics
AUST J AGR RESOUR EC,0.001,1998,economics
ECON HIST REV,0.004,1998,economics
J POPUL ECON,0.003,1998,economics
J ECON BEHAV ORGAN,0.008,1998,economics
WORK EMPLOY SOC,0.003,1998,economics
ECON SOC,0.003,1998,economics
WORLD DEV,0.016,1998,economics
SCAND J ECON,0.004,1998,economics
J BANK FINANC,0.008,1998,economics
J TRANSP ECON POLICY,0.002,1998,economics
REV INCOME WEALTH,0.003,1998,economics
J HOUS ECON,0.001,1998,economics
THEOR DECIS,0.003,1998,economics
ECON EDUC REV,0.002,1998,economics
CONTEMP ECON POLICY,0.003,1998,economics
CAMBRIDGE J ECON,0.003,1998,economics
J MATH ECON,0.004,1998,economics
ECON DEV CULT CHANGE,0.003,1998,economics
PUBLIC CHOICE,0.008,1998,economics
NATL TAX J,0.004,1998,economics
ECON PHILOS,0.001,1998,economics
REG SCI URBAN ECON,0.003,1998,economics
AM J AGR ECON,0.011,1998,economics
GENEVA PAP RISK INS,0.001,1998,economics
CAN J ECON,0.006,1998,economics
B INDONES ECON STUD,0.001,1998,economics
J REAL ESTATE FINANC,0.003,1998,economics
EUROPE-ASIA STUD,0.004,1998,economics
RESOUR ENERGY ECON,0.001,1998,economics
ECON DEV Q,0.001,1998,economics
ECON PLANN,0.001,1998,economics
DEV ECON,0.001,1998,economics
J INST THEOR ECON,0.003,1998,economics
J JPN INT ECON,0.001,1998,economics
COMMUNIST ECON EC TR,0.001,1998,economics
ECOL ECON,0.004,1998,economics
OXFORD REV ECON POL,0.002,1998,economics
WORLD ECON,0.003,1998,economics
REAL ESTATE ECON,0.001,1998,economics
SOUTHERN ECON J,0.005,1998,economics
J AGR RESOUR ECON,0.002,1998,economics
J MEDIA ECON,0.001,1998,economics
ECON LETT,0.011,1998,economics
AUST J AGR ECON,0.001,1998,economics
SCOT J POLIT ECON,0.002,1998,economics
POST-SOV GEOGR ECON,0.001,1998,economics
MANCH SCH,0.001,1998,economics
REV IND ORGAN,0.001,1998,economics
CAN J AGR ECON,0.002,1998,economics
J ECON,0.001,1998,economics
KYKLOS,0.001,1998,economics
J RISK INSUR,0.001,1998,economics
ENERG ECON,0.001,1998,economics
J AGR ECON,0.001,1998,economics
J REGUL ECON,0.001,1998,economics
EUR REV AGRIC ECON,0.001,1998,economics
REV BLACK POLIT ECON,0.001,1998,economics
INT REV LAW ECON,0.001,1998,economics
J MACROECON,0.002,1998,economics
FOOD POLICY,0.001,1998,economics
EASTERN EUR ECON,0.001,1998,economics
SMALL BUS ECON,0.001,1998,economics
J ECON PSYCHOL,0.001,1998,economics
ECON MODEL,0.001,1998,economics
WELTWIRTSCH ARCH,0.001,1998,economics
BROOKINGS PAP ECO AC,0.001,1998,economics
TIJDSCHR ECON SOC GE,0.001,1998,economics
ECON REC,0.001,1998,economics
APPL ECON,0.004,1998,economics
J POLICY MODEL,0.001,1998,economics
FUTURES,0.002,1998,economics
NEW ENGL ECON REV,0.001,1998,economics
J POST KEYNESIAN EC,0.001,1998,economics
J WORLD TRADE,0.001,1998,economics
HIST POLIT ECON,0.001,1998,economics
JPN ECON,0.001,1998,economics
JPN WORLD ECON,0.001,1998,economics
DEFENCE PEACE ECON,0.001,1998,economics
J DEV AREAS,0.001,1998,economics
OPEN ECON REV,0.001,1998,economics
AUST ECON HIST REV,0.001,1998,economics
J ECON ISSUES,0.001,1998,economics
AM J ECON SOCIOL,0.001,1998,economics
HITOTSUB J ECON,0.001,1998,economics
J ECON EDUC,0.001,1998,economics
INSUR MATH ECON,0.001,1998,economics
REV SOC ECON,0.001,1998,economics
APPL ECON LETT,0.001,1998,economics
DESARROLLO ECON,0.001,1998,economics
BETRIEB FORSCH PRAX,0.001,1998,economics
REV ECON,0.001,1998,economics
POLIT EKON,0.001,1998,economics
S AFR J ECON,0.001,1998,economics
TRIMEST ECON,0.001,1998,economics
JAHRB NATL STAT,0.001,1998,economics
REV ETUD COMP EST-Q,0.001,1998,economics
J TAX,0.001,1998,economics
NATIONALOKON TIDSSKR,0.001,1998,economics
PROBL ECON TRANSIT,0.001,1998,economics
EKON CAS,0.001,1998,economics
ECON SOC REV,0.001,1998,economics
EKON SAMF TIDSKR,0.001,1998,economics
NBER MACROECON ANN,0.006,1999,economics
Q J ECON,0.071,1999,economics
J ECON LIT,0.03,1999,economics
J POLIT ECON,0.061,1999,economics
ECONOMETRICA,0.058,1999,economics
ECONOMIST,0.026,1999,economics
REV ECON STUD,0.032,1999,economics
J ECON PERSPECT,0.048,1999,economics
AM ECON REV,0.115,1999,economics
MATH FINANC,0.005,1999,economics
J FINANC ECON,0.028,1999,economics
RAND J ECON,0.022,1999,economics
J LABOR ECON,0.016,1999,economics
J MONETARY ECON,0.025,1999,economics
J HUM RESOUR,0.016,1999,economics
J INT ECON,0.016,1999,economics
J ACCOUNT ECON,0.009,1999,economics
J ECON THEORY,0.037,1999,economics
J ECONOMETRICS,0.032,1999,economics
REV ECON STAT,0.026,1999,economics
GAME ECON BEHAV,0.021,1999,economics
EUR ECON REV,0.034,1999,economics
J BUS ECON STAT,0.014,1999,economics
WORLD BANK RES OBSER,0.004,1999,economics
J LAW ECON,0.006,1999,economics
WORLD BANK ECON REV,0.006,1999,economics
INT ECON REV,0.015,1999,economics
ECON J,0.024,1999,economics
ECON THEOR,0.014,1999,economics
J ENVIRON ECON MANAG,0.013,1999,economics
REV INT POLIT ECON,0.002,1999,economics
J HEALTH ECON,0.009,1999,economics
J PUBLIC ECON,0.02,1999,economics
J FINANC QUANT ANAL,0.007,1999,economics
J LAW ECON ORGAN,0.004,1999,economics
J ECON DYN CONTROL,0.014,1999,economics
CHINA ECON REV,0.002,1999,economics
ECONOMET THEOR,0.011,1999,economics
J RISK UNCERTAINTY,0.006,1999,economics
OXFORD ECON PAP,0.008,1999,economics
J IND ECON,0.005,1999,economics
J APPL ECONOM,0.006,1999,economics
ECONOMICA,0.007,1999,economics
J DEV ECON,0.011,1999,economics
ENERGY J,0.005,1999,economics
J PROD ANAL,0.003,1999,economics
LAND ECON,0.007,1999,economics
J ECON MANAGE STRAT,0.003,1999,economics
ECON GEOGR,0.004,1999,economics
SOC CHOICE WELFARE,0.006,1999,economics
WORLD DEV,0.023,1999,economics
INT MONET FUND S PAP,0.004,1999,economics
SCAND J ECON,0.006,1999,economics
ECON INQ,0.008,1999,economics
HEALTH ECON,0.006,1999,economics
INT J IND ORGAN,0.005,1999,economics
INT J GAME THEORY,0.005,1999,economics
J COMP ECON,0.005,1999,economics
NATL TAX J,0.006,1999,economics
ECON DEV CULT CHANGE,0.005,1999,economics
J MATH ECON,0.006,1999,economics
EXPLOR ECON HIST,0.003,1999,economics
J URBAN ECON,0.005,1999,economics
OXFORD B ECON STAT,0.004,1999,economics
ECON SOC,0.003,1999,economics
J ECON HIST,0.005,1999,economics
J POPUL ECON,0.003,1999,economics
OXFORD REV ECON POL,0.003,1999,economics
POST-SOV AFF,0.002,1999,economics
CAMBRIDGE J ECON,0.004,1999,economics
J EVOL ECON,0.001,1999,economics
NEW ENGL ECON REV,0.002,1999,economics
THEOR DECIS,0.003,1999,economics
WELTWIRTSCH ARCH,0.004,1999,economics
J ECON BEHAV ORGAN,0.008,1999,economics
ECON EDUC REV,0.003,1999,economics
J TRANSP ECON POLICY,0.002,1999,economics
ECOL ECON,0.007,1999,economics
CAN J ECON,0.008,1999,economics
REG SCI URBAN ECON,0.003,1999,economics
J BANK FINANC,0.006,1999,economics
J TAX,0.018,1999,economics
AM J AGR ECON,0.011,1999,economics
J JPN INT ECON,0.002,1999,economics
RESOUR ENERGY ECON,0.002,1999,economics
J ECON EDUC,0.003,1999,economics
REV IND ORGAN,0.003,1999,economics
ECON LETT,0.015,1999,economics
ECON PHILOS,0.001,1999,economics
ECON HIST REV,0.002,1999,economics
J MEDIA ECON,0.001,1999,economics
WORK EMPLOY SOC,0.002,1999,economics
SOUTHERN ECON J,0.005,1999,economics
ECON TRANSIT,0.001,1999,economics
COMMUNIST ECON EC TR,0.002,1999,economics
BROOKINGS PAP ECO AC,0.001,1999,economics
B INDONES ECON STUD,0.001,1999,economics
EUR REV AGRIC ECON,0.002,1999,economics
ENERG ECON,0.002,1999,economics
REAL ESTATE ECON,0.001,1999,economics
PUBLIC CHOICE,0.005,1999,economics
REV INCOME WEALTH,0.001,1999,economics
J HOUS ECON,0.001,1999,economics
DEV ECON,0.001,1999,economics
ECON DEV Q,0.001,1999,economics
J REGUL ECON,0.001,1999,economics
J AGR RESOUR ECON,0.001,1999,economics
ECON REC,0.001,1999,economics
INT REV LAW ECON,0.001,1999,economics
J RISK INSUR,0.001,1999,economics
FOOD POLICY,0.002,1999,economics
WORLD ECON,0.002,1999,economics
J WORLD TRADE,0.002,1999,economics
J AGR ECON,0.001,1999,economics
AUST J AGR RESOUR EC,0.001,1999,economics
MANCH SCH,0.001,1999,economics
J REAL ESTATE FINANC,0.001,1999,economics
SCOT J POLIT ECON,0.001,1999,economics
JPN WORLD ECON,0.001,1999,economics
J ECON PSYCHOL,0.001,1999,economics
CONTEMP ECON POLICY,0.002,1999,economics
DEFENCE PEACE ECON,0.001,1999,economics
J ECON,0.001,1999,economics
GENEVA PAP RISK INS,0.001,1999,economics
SMALL BUS ECON,0.002,1999,economics
KYKLOS,0.001,1999,economics
ECON MODEL,0.001,1999,economics
EUROPE-ASIA STUD,0.002,1999,economics
APPL ECON,0.005,1999,economics
J AFR ECON,0.001,1999,economics
TIJDSCHR ECON SOC GE,0.001,1999,economics
J INST THEOR ECON,0.001,1999,economics
ECON SOC REV,0.001,1999,economics
J POST KEYNESIAN EC,0.001,1999,economics
INSUR MATH ECON,0.001,1999,economics
POST-SOV GEOGR ECON,0.001,1999,economics
ECON PLANN,0.001,1999,economics
J MACROECON,0.001,1999,economics
OPEN ECON REV,0.001,1999,economics
REV BLACK POLIT ECON,0.001,1999,economics
FUTURES,0.002,1999,economics
J DEV AREAS,0.001,1999,economics
J ECON ISSUES,0.001,1999,economics
CAN J AGR ECON,0.001,1999,economics
REV SOC ECON,0.001,1999,economics
BETRIEB FORSCH PRAX,0.001,1999,economics
S AFR J ECON,0.001,1999,economics
APPL ECON LETT,0.002,1999,economics
J POLICY MODEL,0.001,1999,economics
HIST POLIT ECON,0.001,1999,economics
AUST ECON HIST REV,0.001,1999,economics
AM J ECON SOCIOL,0.001,1999,economics
HITOTSUB J ECON,0.001,1999,economics
DESARROLLO ECON,0.001,1999,economics
EASTERN EUR ECON,0.001,1999,economics
REV ECON,0.001,1999,economics
NATIONALOKON TIDSSKR,0.001,1999,economics
TRIMEST ECON,0.001,1999,economics
REV ETUD COMP EST-Q,0.001,1999,economics
JAHRB NATL STAT,0.001,1999,economics
EKON SAMF TIDSKR,0.001,1999,economics
EKON CAS,0.001,1999,economics
PROBL ECON TRANSIT,0.001,1999,economics
ECON POLICY,0.001,1999,economics
POLIT EKON,0.001,1999,economics
NBER MACROECON ANN,0.009,2000,economics
J ECON LIT,0.033,2000,economics
Q J ECON,0.065,2000,economics
J POLIT ECON,0.052,2000,economics
ECONOMETRICA,0.055,2000,economics
BROOKINGS PAP ECO AC,0.018,2000,economics
J ECON PERSPECT,0.043,2000,economics
REV ECON STUD,0.028,2000,economics
ECON POLICY,0.005,2000,economics
J FINANC ECON,0.034,2000,economics
AM ECON REV,0.094,2000,economics
IMF STAFF PAPERS,0.004,2000,economics
MATH FINANC,0.006,2000,economics
J MONETARY ECON,0.022,2000,economics
J LABOR ECON,0.014,2000,economics
J HUM RESOUR,0.015,2000,economics
RAND J ECON,0.015,2000,economics
REV ECON STAT,0.025,2000,economics
MACROECON DYN,0.003,2000,economics
GAME ECON BEHAV,0.022,2000,economics
J ECON THEORY,0.032,2000,economics
J ECONOMETRICS,0.028,2000,economics
WORLD BANK ECON REV,0.006,2000,economics
ECON J,0.026,2000,economics
J INT ECON,0.013,2000,economics
INT ECON REV,0.015,2000,economics
J PUBLIC ECON,0.024,2000,economics
EUR ECON REV,0.028,2000,economics
J LAW ECON ORGAN,0.006,2000,economics
J ENVIRON ECON MANAG,0.013,2000,economics
J FINANC QUANT ANAL,0.007,2000,economics
J BUS ECON STAT,0.011,2000,economics
J HEALTH ECON,0.008,2000,economics
J ECON MANAGE STRAT,0.005,2000,economics
J LAW ECON,0.005,2000,economics
J ACCOUNT ECON,0.006,2000,economics
ECON THEOR,0.014,2000,economics
J APPL ECONOM,0.006,2000,economics
GENEVA PAP RISK INS,0.002,2000,economics
REV INT POLIT ECON,0.003,2000,economics
J ECON DYN CONTROL,0.012,2000,economics
INT J GAME THEORY,0.006,2000,economics
ECONOMET THEOR,0.01,2000,economics
J RISK UNCERTAINTY,0.005,2000,economics
J IND ECON,0.004,2000,economics
SOC CHOICE WELFARE,0.006,2000,economics
J URBAN ECON,0.007,2000,economics
ECONOMICA,0.006,2000,economics
WORLD BANK RES OBSER,0.002,2000,economics
NATL TAX J,0.007,2000,economics
ECON INQ,0.008,2000,economics
ECON SOC,0.004,2000,economics
J DEV ECON,0.009,2000,economics
INT J IND ORGAN,0.006,2000,economics
HEALTH ECON,0.007,2000,economics
ENERGY J,0.003,2000,economics
REG SCI URBAN ECON,0.005,2000,economics
ENVIRON RESOUR ECON,0.003,2000,economics
LAND ECON,0.005,2000,economics
ECON GEOGR,0.003,2000,economics
OXFORD ECON PAP,0.005,2000,economics
THEOR DECIS,0.004,2000,economics
ECON HIST REV,0.004,2000,economics
WORLD DEV,0.017,2000,economics
SCAND J ECON,0.004,2000,economics
POST-SOV AFF,0.002,2000,economics
J ECON HIST,0.004,2000,economics
J BANK FINANC,0.008,2000,economics
J PROD ANAL,0.003,2000,economics
J MATH ECON,0.005,2000,economics
J ECON BEHAV ORGAN,0.008,2000,economics
OXFORD B ECON STAT,0.003,2000,economics
AUST J AGR RESOUR EC,0.001,2000,economics
ECONOMIST-NETHL,0.001,2000,economics
RESOUR ENERGY ECON,0.002,2000,economics
J POPUL ECON,0.002,2000,economics
ECON PHILOS,0.001,2000,economics
REAL ESTATE ECON,0.002,2000,economics
ENERG ECON,0.002,2000,economics
CAMBRIDGE J ECON,0.004,2000,economics
STUD NONLINEAR DYN E,0.001,2000,economics
J COMP ECON,0.003,2000,economics
J REAL ESTATE FINANC,0.003,2000,economics
ECON EDUC REV,0.003,2000,economics
INT REV LAW ECON,0.003,2000,economics
OXFORD REV ECON POL,0.002,2000,economics
ECON TRANSIT,0.001,2000,economics
NEW ENGL ECON REV,0.002,2000,economics
AM J AGR ECON,0.01,2000,economics
B INDONES ECON STUD,0.001,2000,economics
ECON DEV CULT CHANGE,0.002,2000,economics
SOUTHERN ECON J,0.005,2000,economics
REV INCOME WEALTH,0.002,2000,economics
WORK EMPLOY SOC,0.002,2000,economics
J RISK INSUR,0.002,2000,economics
PUBLIC CHOICE,0.006,2000,economics
ECOL ECON,0.005,2000,economics
J ECON EDUC,0.002,2000,economics
J JPN INT ECON,0.001,2000,economics
J REGUL ECON,0.002,2000,economics
FEM ECON,0.001,2000,economics
J AFR ECON,0.001,2000,economics
J EVOL ECON,0.001,2000,economics
CAN J ECON,0.005,2000,economics
EXPLOR ECON HIST,0.001,2000,economics
WELTWIRTSCH ARCH,0.002,2000,economics
J TRANSP ECON POLICY,0.001,2000,economics
ECON LETT,0.012,2000,economics
CONTEMP ECON POLICY,0.002,2000,economics
EUROPE-ASIA STUD,0.003,2000,economics
J AGR RESOUR ECON,0.001,2000,economics
J INST THEOR ECON,0.002,2000,economics
J MACROECON,0.002,2000,economics
AGR ECON,0.001,2000,economics
J WORLD TRADE,0.002,2000,economics
WORLD ECON,0.002,2000,economics
ECON PLANN,0.001,2000,economics
J AGR ECON,0.001,2000,economics
COMMUNIST ECON EC TR,0.001,2000,economics
KYKLOS,0.001,2000,economics
SCOT J POLIT ECON,0.001,2000,economics
J HOUS ECON,0.001,2000,economics
REV BLACK POLIT ECON,0.001,2000,economics
JPN WORLD ECON,0.001,2000,economics
EUR REV AGRIC ECON,0.001,2000,economics
J ECON PSYCHOL,0.001,2000,economics
DEV ECON,0.001,2000,economics
REV IND ORGAN,0.002,2000,economics
CHINA ECON REV,0.001,2000,economics
INSUR MATH ECON,0.001,2000,economics
ECON DEV Q,0.001,2000,economics
APPL ECON,0.005,2000,economics
OPEN ECON REV,0.001,2000,economics
DESARROLLO ECON,0.001,2000,economics
FOOD POLICY,0.001,2000,economics
POST-SOV GEOGR ECON,0.001,2000,economics
J MEDIA ECON,0.001,2000,economics
SMALL BUS ECON,0.001,2000,economics
ECON MODEL,0.001,2000,economics
MANCH SCH,0.001,2000,economics
J POST KEYNESIAN EC,0.001,2000,economics
ECON REC,0.001,2000,economics
J ECON ISSUES,0.001,2000,economics
J ECON,0.001,2000,economics
TIJDSCHR ECON SOC GE,0.001,2000,economics
HIST POLIT ECON,0.001,2000,economics
POLIT EKON,0.001,2000,economics
HITOTSUB J ECON,0.001,2000,economics
ECON SOC REV,0.001,2000,economics
AM J ECON SOCIOL,0.001,2000,economics
J DEV AREAS,0.001,2000,economics
J POLICY MODEL,0.001,2000,economics
EASTERN EUR ECON,0.001,2000,economics
FUTURES,0.001,2000,economics
DEFENCE PEACE ECON,0.001,2000,economics
BETRIEB FORSCH PRAX,0.001,2000,economics
JAHRB NATL STAT,0.001,2000,economics
REV ETUD COMP EST-Q,0.001,2000,economics
TRIMEST ECON,0.001,2000,economics
APPL ECON LETT,0.001,2000,economics
POST-COMMUNIST ECON,0.001,2000,economics
S AFR J ECON,0.001,2000,economics
EKON CAS,0.001,2000,economics
J TAX,0.001,2000,economics
ADV ECONOMETRICS,0.001,2000,economics
EKON SAMF TIDSKR,0.001,2000,economics
NBER MACROECON ANN,0.007,2001,economics
J ECON LIT,0.032,2001,economics
Q J ECON,0.068,2001,economics
J ECON GROWTH,0.009,2001,economics
J POLIT ECON,0.055,2001,economics
BROOKINGS PAP ECO AC,0.016,2001,economics
ECONOMETRICA,0.049,2001,economics
J FINANC ECON,0.045,2001,economics
J ECON PERSPECT,0.038,2001,economics
REV ECON STUD,0.024,2001,economics
AM ECON REV,0.096,2001,economics
ECON POLICY,0.005,2001,economics
J INT ECON,0.023,2001,economics
RAND J ECON,0.018,2001,economics
MATH FINANC,0.007,2001,economics
J LABOR ECON,0.015,2001,economics
REV ECON STAT,0.03,2001,economics
J HUM RESOUR,0.014,2001,economics
INT ECON REV,0.019,2001,economics
J MONETARY ECON,0.02,2001,economics
IMF STAFF PAPERS,0.004,2001,economics
J ECONOMETRICS,0.032,2001,economics
J LAW ECON ORGAN,0.007,2001,economics
J FINANC QUANT ANAL,0.009,2001,economics
ECON J,0.027,2001,economics
J BUS ECON STAT,0.014,2001,economics
J ECON THEORY,0.029,2001,economics
J LAW ECON,0.007,2001,economics
EUR ECON REV,0.028,2001,economics
GAME ECON BEHAV,0.018,2001,economics
